preamble,stimulus,item,category,feature
Skindiving,is enjoyed when done.,skindiving,sport,10
Sailing,is enjoyed when done.,sailing,sport,10
Diving,is enjoyed when done.,diving,sport,10
Archery,is enjoyed when done.,archery,sport,10
Judo,is enjoyed when done.,judo,sport,10
Car racing,is enjoyed when done.,car racing,sport,10
Ping pong,is enjoyed when done.,ping pong,sport,10
Rowing,is enjoyed when done.,rowing,sport,10
Fishing,is enjoyed when done.,fishing,sport,10
Horseback riding,is enjoyed when done.,horseback riding,sport,10
Running,is enjoyed when done.,running,sport,10
Horse racing,is enjoyed when done.,horse racing,sport,10
Hiking,is enjoyed when done.,hiking,sport,10
Weight lifting,is enjoyed when done.,weight lifting,sport,10
Croquet,is enjoyed when done.,croquet,sport,10
Horseshoes,is enjoyed when done.,horseshoes,sport,10
Boating,is enjoyed when done.,boating,sport,10
Pool,is enjoyed when done.,pool,sport,10
Billiards,is enjoyed when done.,billiards,sport,10
Hunting,is enjoyed when done.,hunting,sport,10
Jump rope,is enjoyed when done.,jump rope,sport,10
Camping,is enjoyed when done.,camping,sport,10
Chess,is enjoyed when done.,chess,sport,10
Dancing,is enjoyed when done.,dancing,sport,10
Checkers,is enjoyed when done.,checkers,sport,10
Cards,is enjoyed when done.,cards,sport,10
Sunbathing,is enjoyed when done.,sunbathing,sport,10
Football,is not a solitary activity.,football,sport,11
Baseball,is not a solitary activity.,baseball,sport,11
Basketball,is not a solitary activity.,basketball,sport,11
Tennis,is not a solitary activity.,tennis,sport,11
Softball,is not a solitary activity.,softball,sport,11
Canoeing,is not a solitary activity.,canoeing,sport,11
Handball,is not a solitary activity.,handball,sport,11
Rugby,is not a solitary activity.,rugby,sport,11
Hockey,is not a solitary activity.,hockey,sport,11
Ice hockey,is not a solitary activity.,ice hockey,sport,11
Swimming,is not a solitary activity.,swimming,sport,11
Track,is not a solitary activity.,track,sport,11
Boxing,is not a solitary activity.,boxing,sport,11
Volleyball,is not a solitary activity.,volleyball,sport,11
Lacrosse,is not a solitary activity.,lacrosse,sport,11
Skiing,is not a solitary activity.,skiing,sport,11
Golf,is not a solitary activity.,golf,sport,11
Polo,is not a solitary activity.,polo,sport,11
Surfing,is not a solitary activity.,surfing,sport,11
Wrestling,is not a solitary activity.,wrestling,sport,11
Gymnastics,is not a solitary activity.,gymnastics,sport,11
Cricket,is not a solitary activity.,cricket,sport,11
Squash,is not a solitary activity.,squash,sport,11
Badminton,is not a solitary activity.,badminton,sport,11
Racing,is not a solitary activity.,racing,sport,11
Pole vault,is not a solitary activity.,pole vault,sport,11
Fencing,is not a solitary activity.,fencing,sport,11
Bowling,is not a solitary activity.,bowling,sport,11
Water skiing,is not a solitary activity.,water skiing,sport,11
Ice skating,is not a solitary activity.,ice skating,sport,11
Jai alai,is not a solitary activity.,jai alai,sport,11
Skating,is not a solitary activity.,skating,sport,11
Skindiving,is not a solitary activity.,skindiving,sport,11
Sailing,is not a solitary activity.,sailing,sport,11
Diving,is not a solitary activity.,diving,sport,11
Archery,is not a solitary activity.,archery,sport,11
Judo,is not a solitary activity.,judo,sport,11
Car racing,is not a solitary activity.,car racing,sport,11
Ping pong,is not a solitary activity.,ping pong,sport,11
Rowing,is not a solitary activity.,rowing,sport,11
Fishing,is not a solitary activity.,fishing,sport,11
Horseback riding,is not a solitary activity.,horseback riding,sport,11
Running,is not a solitary activity.,running,sport,11
Horse racing,is not a solitary activity.,horse racing,sport,11
Hiking,is not a solitary activity.,hiking,sport,11
Weight lifting,is not a solitary activity.,weight lifting,sport,11
Croquet,is not a solitary activity.,croquet,sport,11
Horseshoes,is not a solitary activity.,horseshoes,sport,11
Boating,is not a solitary activity.,boating,sport,11
Pool,is not a solitary activity.,pool,sport,11
Billiards,is not a solitary activity.,billiards,sport,11
Hunting,is not a solitary activity.,hunting,sport,11
Jump rope,is not a solitary activity.,jump rope,sport,11
Camping,is not a solitary activity.,camping,sport,11
Chess,is not a solitary activity.,chess,sport,11
Dancing,is not a solitary activity.,dancing,sport,11
Checkers,is not a solitary activity.,checkers,sport,11
Cards,is not a solitary activity.,cards,sport,11
Sunbathing,is not a solitary activity.,sunbathing,sport,11
Football,has teams.,football,sport,12
Baseball,has teams.,baseball,sport,12
Basketball,has teams.,basketball,sport,12
Tennis,has teams.,tennis,sport,12
Softball,has teams.,softball,sport,12
Canoeing,has teams.,canoeing,sport,12
Handball,has teams.,handball,sport,12
Rugby,has teams.,rugby,sport,12
Hockey,has teams.,hockey,sport,12
Ice hockey,has teams.,ice hockey,sport,12
Swimming,has teams.,swimming,sport,12
Track,has teams.,track,sport,12
Boxing,has teams.,boxing,sport,12
Volleyball,has teams.,volleyball,sport,12
Lacrosse,has teams.,lacrosse,sport,12
Skiing,has teams.,skiing,sport,12
Golf,has teams.,golf,sport,12
Polo,has teams.,polo,sport,12
Surfing,has teams.,surfing,sport,12
Wrestling,has teams.,wrestling,sport,12
Gymnastics,has teams.,gymnastics,sport,12
Cricket,has teams.,cricket,sport,12
Squash,has teams.,squash,sport,12
Badminton,has teams.,badminton,sport,12
Racing,has teams.,racing,sport,12
Pole vault,has teams.,pole vault,sport,12
Fencing,has teams.,fencing,sport,12
Bowling,has teams.,bowling,sport,12
Water skiing,has teams.,water skiing,sport,12
Ice skating,has teams.,ice skating,sport,12
Jai alai,has teams.,jai alai,sport,12
Skating,has teams.,skating,sport,12
Skindiving,has teams.,skindiving,sport,12
Sailing,has teams.,sailing,sport,12
Diving,has teams.,diving,sport,12
Archery,has teams.,archery,sport,12
Judo,has teams.,judo,sport,12
Car racing,has teams.,car racing,sport,12
Ping pong,has teams.,ping pong,sport,12
Rowing,has teams.,rowing,sport,12
Fishing,has teams.,fishing,sport,12
Horseback riding,has teams.,horseback riding,sport,12
Running,has teams.,running,sport,12
Horse racing,has teams.,horse racing,sport,12
Hiking,has teams.,hiking,sport,12
Weight lifting,has teams.,weight lifting,sport,12
Croquet,has teams.,croquet,sport,12
Horseshoes,has teams.,horseshoes,sport,12
Boating,has teams.,boating,sport,12
Pool,has teams.,pool,sport,12
Billiards,has teams.,billiards,sport,12
Hunting,has teams.,hunting,sport,12
Jump rope,has teams.,jump rope,sport,12
Camping,has teams.,camping,sport,12
Chess,has teams.,chess,sport,12
Dancing,has teams.,dancing,sport,12
Checkers,has teams.,checkers,sport,12
Cards,has teams.,cards,sport,12
Sunbathing,has teams.,sunbathing,sport,12
Football,has spectators.,football,sport,13
Baseball,has spectators.,baseball,sport,13
Basketball,has spectators.,basketball,sport,13
Tennis,has spectators.,tennis,sport,13
Softball,has spectators.,softball,sport,13
Canoeing,has spectators.,canoeing,sport,13
Handball,has spectators.,handball,sport,13
Rugby,has spectators.,rugby,sport,13
Hockey,has spectators.,hockey,sport,13
Ice hockey,has spectators.,ice hockey,sport,13
Swimming,has spectators.,swimming,sport,13
Track,has spectators.,track,sport,13
Boxing,has spectators.,boxing,sport,13
Volleyball,has spectators.,volleyball,sport,13
Lacrosse,has spectators.,lacrosse,sport,13
Skiing,has spectators.,skiing,sport,13
Golf,has spectators.,golf,sport,13
Polo,has spectators.,polo,sport,13
Surfing,has spectators.,surfing,sport,13
Wrestling,has spectators.,wrestling,sport,13
Gymnastics,has spectators.,gymnastics,sport,13
Cricket,has spectators.,cricket,sport,13
Squash,has spectators.,squash,sport,13
Badminton,has spectators.,badminton,sport,13
Racing,has spectators.,racing,sport,13
Pole vault,has spectators.,pole vault,sport,13
Fencing,has spectators.,fencing,sport,13
Bowling,has spectators.,bowling,sport,13
Water skiing,has spectators.,water skiing,sport,13
Ice skating,has spectators.,ice skating,sport,13
Jai alai,has spectators.,jai alai,sport,13
Skating,has spectators.,skating,sport,13
Skindiving,has spectators.,skindiving,sport,13
Sailing,has spectators.,sailing,sport,13
Diving,has spectators.,diving,sport,13
Archery,has spectators.,archery,sport,13
Judo,has spectators.,judo,sport,13
Car racing,has spectators.,car racing,sport,13
Ping pong,has spectators.,ping pong,sport,13
Rowing,has spectators.,rowing,sport,13
Fishing,has spectators.,fishing,sport,13
Horseback riding,has spectators.,horseback riding,sport,13
Running,has spectators.,running,sport,13
Horse racing,has spectators.,horse racing,sport,13
Hiking,has spectators.,hiking,sport,13
Weight lifting,has spectators.,weight lifting,sport,13
Croquet,has spectators.,croquet,sport,13
Horseshoes,has spectators.,horseshoes,sport,13
Boating,has spectators.,boating,sport,13
Pool,has spectators.,pool,sport,13
Billiards,has spectators.,billiards,sport,13
Hunting,has spectators.,hunting,sport,13
Jump rope,has spectators.,jump rope,sport,13
Camping,has spectators.,camping,sport,13
Chess,has spectators.,chess,sport,13
Dancing,has spectators.,dancing,sport,13
Checkers,has spectators.,checkers,sport,13
Cards,has spectators.,cards,sport,13
Sunbathing,has spectators.,sunbathing,sport,13
Football,involves physical skill.,football,sport,14
Baseball,involves physical skill.,baseball,sport,14
Basketball,involves physical skill.,basketball,sport,14
Tennis,involves physical skill.,tennis,sport,14
Softball,involves physical skill.,softball,sport,14
Canoeing,involves physical skill.,canoeing,sport,14
Handball,involves physical skill.,handball,sport,14
Rugby,involves physical skill.,rugby,sport,14
Hockey,involves physical skill.,hockey,sport,14
Ice hockey,involves physical skill.,ice hockey,sport,14
Swimming,involves physical skill.,swimming,sport,14
Track,involves physical skill.,track,sport,14
Boxing,involves physical skill.,boxing,sport,14
Volleyball,involves physical skill.,volleyball,sport,14
Lacrosse,involves physical skill.,lacrosse,sport,14
Skiing,involves physical skill.,skiing,sport,14
Golf,involves physical skill.,golf,sport,14
Polo,involves physical skill.,polo,sport,14
Surfing,involves physical skill.,surfing,sport,14
Wrestling,involves physical skill.,wrestling,sport,14
Gymnastics,involves physical skill.,gymnastics,sport,14
Cricket,involves physical skill.,cricket,sport,14
Squash,involves physical skill.,squash,sport,14
Badminton,involves physical skill.,badminton,sport,14
Racing,involves physical skill.,racing,sport,14
Pole vault,involves physical skill.,pole vault,sport,14
Fencing,involves physical skill.,fencing,sport,14
Bowling,involves physical skill.,bowling,sport,14
Water skiing,involves physical skill.,water skiing,sport,14
Ice skating,involves physical skill.,ice skating,sport,14
Jai alai,involves physical skill.,jai alai,sport,14
Skating,involves physical skill.,skating,sport,14
Skindiving,involves physical skill.,skindiving,sport,14
Sailing,involves physical skill.,sailing,sport,14
Diving,involves physical skill.,diving,sport,14
Archery,involves physical skill.,archery,sport,14
Judo,involves physical skill.,judo,sport,14
Car racing,involves physical skill.,car racing,sport,14
Ping pong,involves physical skill.,ping pong,sport,14
Rowing,involves physical skill.,rowing,sport,14
Fishing,involves physical skill.,fishing,sport,14
Horseback riding,involves physical skill.,horseback riding,sport,14
Running,involves physical skill.,running,sport,14
Horse racing,involves physical skill.,horse racing,sport,14
Hiking,involves physical skill.,hiking,sport,14
Weight lifting,involves physical skill.,weight lifting,sport,14
Croquet,involves physical skill.,croquet,sport,14
Horseshoes,involves physical skill.,horseshoes,sport,14
Boating,involves physical skill.,boating,sport,14
Pool,involves physical skill.,pool,sport,14
Billiards,involves physical skill.,billiards,sport,14
Hunting,involves physical skill.,hunting,sport,14
Jump rope,involves physical skill.,jump rope,sport,14
Camping,involves physical skill.,camping,sport,14
Chess,involves physical skill.,chess,sport,14
Dancing,involves physical skill.,dancing,sport,14
Checkers,involves physical skill.,checkers,sport,14
Cards,involves physical skill.,cards,sport,14
Sunbathing,involves physical skill.,sunbathing,sport,14
Football,has rules.,football,sport,15
Baseball,has rules.,baseball,sport,15
Basketball,has rules.,basketball,sport,15
Tennis,has rules.,tennis,sport,15
Softball,has rules.,softball,sport,15
Canoeing,has rules.,canoeing,sport,15
Handball,has rules.,handball,sport,15
Rugby,has rules.,rugby,sport,15
Hockey,has rules.,hockey,sport,15
Ice hockey,has rules.,ice hockey,sport,15
Swimming,has rules.,swimming,sport,15
Track,has rules.,track,sport,15
Boxing,has rules.,boxing,sport,15
Volleyball,has rules.,volleyball,sport,15
Lacrosse,has rules.,lacrosse,sport,15
Skiing,has rules.,skiing,sport,15
Golf,has rules.,golf,sport,15
Polo,has rules.,polo,sport,15
Surfing,has rules.,surfing,sport,15
Wrestling,has rules.,wrestling,sport,15
Gymnastics,has rules.,gymnastics,sport,15
Cricket,has rules.,cricket,sport,15
Squash,has rules.,squash,sport,15
Badminton,has rules.,badminton,sport,15
Racing,has rules.,racing,sport,15
Pole vault,has rules.,pole vault,sport,15
Fencing,has rules.,fencing,sport,15
Bowling,has rules.,bowling,sport,15
Water skiing,has rules.,water skiing,sport,15
Ice skating,has rules.,ice skating,sport,15
Jai alai,has rules.,jai alai,sport,15
Skating,has rules.,skating,sport,15
Skindiving,has rules.,skindiving,sport,15
Sailing,has rules.,sailing,sport,15
Diving,has rules.,diving,sport,15
Archery,has rules.,archery,sport,15
Judo,has rules.,judo,sport,15
Car racing,has rules.,car racing,sport,15
Ping pong,has rules.,ping pong,sport,15
Rowing,has rules.,rowing,sport,15
Fishing,has rules.,fishing,sport,15
Horseback riding,has rules.,horseback riding,sport,15
Running,has rules.,running,sport,15
Horse racing,has rules.,horse racing,sport,15
Hiking,has rules.,hiking,sport,15
Weight lifting,has rules.,weight lifting,sport,15
Croquet,has rules.,croquet,sport,15
Horseshoes,has rules.,horseshoes,sport,15
Boating,has rules.,boating,sport,15
Pool,has rules.,pool,sport,15
Billiards,has rules.,billiards,sport,15
Hunting,has rules.,hunting,sport,15
Jump rope,has rules.,jump rope,sport,15
Camping,has rules.,camping,sport,15
Chess,has rules.,chess,sport,15
Dancing,has rules.,dancing,sport,15
Checkers,has rules.,checkers,sport,15
Cards,has rules.,cards,sport,15
Sunbathing,has rules.,sunbathing,sport,15
Football,uses special equipment.,football,sport,16
Baseball,uses special equipment.,baseball,sport,16
Basketball,uses special equipment.,basketball,sport,16
Tennis,uses special equipment.,tennis,sport,16
Softball,uses special equipment.,softball,sport,16
Canoeing,uses special equipment.,canoeing,sport,16
Handball,uses special equipment.,handball,sport,16
Rugby,uses special equipment.,rugby,sport,16
Hockey,uses special equipment.,hockey,sport,16
Ice hockey,uses special equipment.,ice hockey,sport,16
Swimming,uses special equipment.,swimming,sport,16
Track,uses special equipment.,track,sport,16
Boxing,uses special equipment.,boxing,sport,16
Volleyball,uses special equipment.,volleyball,sport,16
Lacrosse,uses special equipment.,lacrosse,sport,16
Skiing,uses special equipment.,skiing,sport,16
Golf,uses special equipment.,golf,sport,16
Polo,uses special equipment.,polo,sport,16
Surfing,uses special equipment.,surfing,sport,16
Wrestling,uses special equipment.,wrestling,sport,16
Gymnastics,uses special equipment.,gymnastics,sport,16
Cricket,uses special equipment.,cricket,sport,16
Squash,uses special equipment.,squash,sport,16
Badminton,uses special equipment.,badminton,sport,16
Racing,uses special equipment.,racing,sport,16
Pole vault,uses special equipment.,pole vault,sport,16
Fencing,uses special equipment.,fencing,sport,16
Bowling,uses special equipment.,bowling,sport,16
Water skiing,uses special equipment.,water skiing,sport,16
Ice skating,uses special equipment.,ice skating,sport,16
Jai alai,uses special equipment.,jai alai,sport,16
Skating,uses special equipment.,skating,sport,16
Skindiving,uses special equipment.,skindiving,sport,16
Sailing,uses special equipment.,sailing,sport,16
Diving,uses special equipment.,diving,sport,16
Archery,uses special equipment.,archery,sport,16
Judo,uses special equipment.,judo,sport,16
Car racing,uses special equipment.,car racing,sport,16
Ping pong,uses special equipment.,ping pong,sport,16
Rowing,uses special equipment.,rowing,sport,16
Fishing,uses special equipment.,fishing,sport,16
Horseback riding,uses special equipment.,horseback riding,sport,16
Running,uses special equipment.,running,sport,16
Horse racing,uses special equipment.,horse racing,sport,16
Hiking,uses special equipment.,hiking,sport,16
Weight lifting,uses special equipment.,weight lifting,sport,16
Croquet,uses special equipment.,croquet,sport,16
Horseshoes,uses special equipment.,horseshoes,sport,16
Boating,uses special equipment.,boating,sport,16
Pool,uses special equipment.,pool,sport,16
Billiards,uses special equipment.,billiards,sport,16
Hunting,uses special equipment.,hunting,sport,16
Jump rope,uses special equipment.,jump rope,sport,16
Camping,uses special equipment.,camping,sport,16
Chess,uses special equipment.,chess,sport,16
Dancing,uses special equipment.,dancing,sport,16
Checkers,uses special equipment.,checkers,sport,16
Cards,uses special equipment.,cards,sport,16
Sunbathing,uses special equipment.,sunbathing,sport,16
Football,takes place outdoors.,football,sport,17
Baseball,takes place outdoors.,baseball,sport,17
Basketball,takes place outdoors.,basketball,sport,17
Tennis,takes place outdoors.,tennis,sport,17
Softball,takes place outdoors.,softball,sport,17
Canoeing,takes place outdoors.,canoeing,sport,17
Handball,takes place outdoors.,handball,sport,17
Rugby,takes place outdoors.,rugby,sport,17
Hockey,takes place outdoors.,hockey,sport,17
Ice hockey,takes place outdoors.,ice hockey,sport,17
Swimming,takes place outdoors.,swimming,sport,17
Track,takes place outdoors.,track,sport,17
Boxing,takes place outdoors.,boxing,sport,17
Volleyball,takes place outdoors.,volleyball,sport,17
Lacrosse,takes place outdoors.,lacrosse,sport,17
Skiing,takes place outdoors.,skiing,sport,17
Golf,takes place outdoors.,golf,sport,17
Polo,takes place outdoors.,polo,sport,17
Surfing,takes place outdoors.,surfing,sport,17
Wrestling,takes place outdoors.,wrestling,sport,17
Gymnastics,takes place outdoors.,gymnastics,sport,17
Cricket,takes place outdoors.,cricket,sport,17
Squash,takes place outdoors.,squash,sport,17
Badminton,takes place outdoors.,badminton,sport,17
Racing,takes place outdoors.,racing,sport,17
Pole vault,takes place outdoors.,pole vault,sport,17
Fencing,takes place outdoors.,fencing,sport,17
Bowling,takes place outdoors.,bowling,sport,17
Water skiing,takes place outdoors.,water skiing,sport,17
Ice skating,takes place outdoors.,ice skating,sport,17
Jai alai,takes place outdoors.,jai alai,sport,17
Skating,takes place outdoors.,skating,sport,17
Skindiving,takes place outdoors.,skindiving,sport,17
Sailing,takes place outdoors.,sailing,sport,17
Diving,takes place outdoors.,diving,sport,17
Archery,takes place outdoors.,archery,sport,17
Judo,takes place outdoors.,judo,sport,17
Car racing,takes place outdoors.,car racing,sport,17
Ping pong,takes place outdoors.,ping pong,sport,17
Rowing,takes place outdoors.,rowing,sport,17
Fishing,takes place outdoors.,fishing,sport,17
Horseback riding,takes place outdoors.,horseback riding,sport,17
Running,takes place outdoors.,running,sport,17
Horse racing,takes place outdoors.,horse racing,sport,17
Hiking,takes place outdoors.,hiking,sport,17
Weight lifting,takes place outdoors.,weight lifting,sport,17
Croquet,takes place outdoors.,croquet,sport,17
Horseshoes,takes place outdoors.,horseshoes,sport,17
Boating,takes place outdoors.,boating,sport,17
Pool,takes place outdoors.,pool,sport,17
Billiards,takes place outdoors.,billiards,sport,17
Hunting,takes place outdoors.,hunting,sport,17
Jump rope,takes place outdoors.,jump rope,sport,17
Camping,takes place outdoors.,camping,sport,17
Chess,takes place outdoors.,chess,sport,17
Dancing,takes place outdoors.,dancing,sport,17
Checkers,takes place outdoors.,checkers,sport,17
Cards,takes place outdoors.,cards,sport,17
Sunbathing,takes place outdoors.,sunbathing,sport,17
Football,is exercise.,football,sport,18
Baseball,is exercise.,baseball,sport,18
Basketball,is exercise.,basketball,sport,18
Tennis,is exercise.,tennis,sport,18
Softball,is exercise.,softball,sport,18
Canoeing,is exercise.,canoeing,sport,18
Handball,is exercise.,handball,sport,18
Rugby,is exercise.,rugby,sport,18
Hockey,is exercise.,hockey,sport,18
Ice hockey,is exercise.,ice hockey,sport,18
Swimming,is exercise.,swimming,sport,18
Track,is exercise.,track,sport,18
Boxing,is exercise.,boxing,sport,18
Volleyball,is exercise.,volleyball,sport,18
Lacrosse,is exercise.,lacrosse,sport,18
Skiing,is exercise.,skiing,sport,18
Golf,is exercise.,golf,sport,18
Polo,is exercise.,polo,sport,18
Surfing,is exercise.,surfing,sport,18
Wrestling,is exercise.,wrestling,sport,18
Gymnastics,is exercise.,gymnastics,sport,18
Cricket,is exercise.,cricket,sport,18
Squash,is exercise.,squash,sport,18
Badminton,is exercise.,badminton,sport,18
Racing,is exercise.,racing,sport,18
Pole vault,is exercise.,pole vault,sport,18
Fencing,is exercise.,fencing,sport,18
Bowling,is exercise.,bowling,sport,18
Water skiing,is exercise.,water skiing,sport,18
Ice skating,is exercise.,ice skating,sport,18
Jai alai,is exercise.,jai alai,sport,18
Skating,is exercise.,skating,sport,18
Skindiving,is exercise.,skindiving,sport,18
Sailing,is exercise.,sailing,sport,18
Diving,is exercise.,diving,sport,18
Archery,is exercise.,archery,sport,18
Judo,is exercise.,judo,sport,18
Car racing,is exercise.,car racing,sport,18
Ping pong,is exercise.,ping pong,sport,18
Rowing,is exercise.,rowing,sport,18
Fishing,is exercise.,fishing,sport,18
Horseback riding,is exercise.,horseback riding,sport,18
Running,is exercise.,running,sport,18
Horse racing,is exercise.,horse racing,sport,18
Hiking,is exercise.,hiking,sport,18
Weight lifting,is exercise.,weight lifting,sport,18
Croquet,is exercise.,croquet,sport,18
Horseshoes,is exercise.,horseshoes,sport,18
Boating,is exercise.,boating,sport,18
Pool,is exercise.,pool,sport,18
Billiards,is exercise.,billiards,sport,18
Hunting,is exercise.,hunting,sport,18
Jump rope,is exercise.,jump rope,sport,18
Camping,is exercise.,camping,sport,18
Chess,is exercise.,chess,sport,18
Dancing,is exercise.,dancing,sport,18
Checkers,is exercise.,checkers,sport,18
Cards,is exercise.,cards,sport,18
Sunbathing,is exercise.,sunbathing,sport,18
Pea,is edible.,pea,vegetable,1
Carrot,is edible.,carrot,vegetable,1
Green bean,is edible.,green bean,vegetable,1
String bean,is edible.,string bean,vegetable,1
Spinach,is edible.,spinach,vegetable,1
Broccoli,is edible.,broccoli,vegetable,1
Asparagus,is edible.,asparagus,vegetable,1
Corn,is edible.,corn,vegetable,1
Cauliflower,is edible.,cauliflower,vegetable,1
Brussels sprouts,are edible.,brussels sprouts,vegetable,1
Squash,is edible.,squash,vegetable,1
Lettuce,is edible.,lettuce,vegetable,1
Celery,is edible.,celery,vegetable,1
Cucumber,is edible.,cucumber,vegetable,1
Beet,is edible.,beet,vegetable,1
Green,is edible.,green,vegetable,1
Tomato,is edible.,tomato,vegetable,1
Lima bean,is edible.,lima bean,vegetable,1
Artichoke,is edible.,artichoke,vegetable,1
Turnip,is edible.,turnip,vegetable,1
Eggplant,is edible.,eggplant,vegetable,1
Romaine,is edible.,romaine,vegetable,1
Green pepper,is edible.,green pepper,vegetable,1
Okra,is edible.,okra,vegetable,1
Radish,is edible.,radish,vegetable,1
Onion,is edible.,onion,vegetable,1
Bean,is edible.,bean,vegetable,1
Green onion,is edible.,green onion,vegetable,1
Potato,is edible.,potato,vegetable,1
Parsnip,is edible.,parsnip,vegetable,1
Turnip green,is edible.,turnip green,vegetable,1
Collard,is edible.,collard,vegetable,1
Wax bean,is edible.,wax bean,vegetable,1
Watercress,is edible.,watercress,vegetable,1
Black eyed pea,is edible.,black eyed pea,vegetable,1
Leek,is edible.,leek,vegetable,1
Pepper,is edible.,pepper,vegetable,1
Sweet potato,is edible.,sweet potato,vegetable,1
Yam,is edible.,yam,vegetable,1
Parsley,is edible.,parsley,vegetable,1
Endive,is edible.,endive,vegetable,1
Rutabaga,is edible.,rutabaga,vegetable,1
Mushroom,is edible.,mushroom,vegetable,1
Avocado,is edible.,avocado,vegetable,1
Rhubarb,is edible.,rhubarb,vegetable,1
Kale,is edible.,kale,vegetable,1
Escarole,is edible.,escarole,vegetable,1
Sauerkraut,is edible.,sauerkraut,vegetable,1
Pickle,is edible.,pickle,vegetable,1
Baked bean,is edible.,baked bean,vegetable,1
Pumpkin,is edible.,pumpkin,vegetable,1
Seaweed,is edible.,seaweed,vegetable,1
Garlic,is edible.,garlic,vegetable,1
Dandelion,is edible.,dandelion,vegetable,1
Peanut,is edible.,peanut,vegetable,1
Rice,is edible.,rice,vegetable,1
Pea,is eaten.,pea,vegetable,2
Carrot,is eaten.,carrot,vegetable,2
Green bean,is eaten.,green bean,vegetable,2
String bean,is eaten.,string bean,vegetable,2
Spinach,is eaten.,spinach,vegetable,2
Broccoli,is eaten.,broccoli,vegetable,2
Asparagus,is eaten.,asparagus,vegetable,2
Corn,is eaten.,corn,vegetable,2
Cauliflower,is eaten.,cauliflower,vegetable,2
Brussels sprouts,are eaten.,brussels sprouts,vegetable,2
Squash,is eaten.,squash,vegetable,2
Lettuce,is eaten.,lettuce,vegetable,2
Celery,is eaten.,celery,vegetable,2
Cucumber,is eaten.,cucumber,vegetable,2
Beet,is eaten.,beet,vegetable,2
Green,is eaten.,green,vegetable,2
Tomato,is eaten.,tomato,vegetable,2
Lima bean,is eaten.,lima bean,vegetable,2
Artichoke,is eaten.,artichoke,vegetable,2
Turnip,is eaten.,turnip,vegetable,2
Eggplant,is eaten.,eggplant,vegetable,2
Romaine,is eaten.,romaine,vegetable,2
Green pepper,is eaten.,green pepper,vegetable,2
Okra,is eaten.,okra,vegetable,2
Radish,is eaten.,radish,vegetable,2
Onion,is eaten.,onion,vegetable,2
Bean,is eaten.,bean,vegetable,2
Green onion,is eaten.,green onion,vegetable,2
Potato,is eaten.,potato,vegetable,2
Parsnip,is eaten.,parsnip,vegetable,2
Turnip green,is eaten.,turnip green,vegetable,2
Collard,is eaten.,collard,vegetable,2
Wax bean,is eaten.,wax bean,vegetable,2
Watercress,is eaten.,watercress,vegetable,2
Black eyed pea,is eaten.,black eyed pea,vegetable,2
Leek,is eaten.,leek,vegetable,2
Pepper,is eaten.,pepper,vegetable,2
Sweet potato,is eaten.,sweet potato,vegetable,2
Yam,is eaten.,yam,vegetable,2
Parsley,is eaten.,parsley,vegetable,2
Endive,is eaten.,endive,vegetable,2
Rutabaga,is eaten.,rutabaga,vegetable,2
Mushroom,is eaten.,mushroom,vegetable,2
Avocado,is eaten.,avocado,vegetable,2
Rhubarb,is eaten.,rhubarb,vegetable,2
Kale,is eaten.,kale,vegetable,2
Escarole,is eaten.,escarole,vegetable,2
Sauerkraut,is eaten.,sauerkraut,vegetable,2
Pickle,is eaten.,pickle,vegetable,2
Baked bean,is eaten.,baked bean,vegetable,2
Pumpkin,is eaten.,pumpkin,vegetable,2
Seaweed,is eaten.,seaweed,vegetable,2
Garlic,is eaten.,garlic,vegetable,2
Dandelion,is eaten.,dandelion,vegetable,2
Peanut,is eaten.,peanut,vegetable,2
Rice,is eaten.,rice,vegetable,2
Pea,is a plant.,pea,vegetable,3
Carrot,is a plant.,carrot,vegetable,3
Green bean,is a plant.,green bean,vegetable,3
String bean,is a plant.,string bean,vegetable,3
Spinach,is a plant.,spinach,vegetable,3
Broccoli,is a plant.,broccoli,vegetable,3
Asparagus,is a plant.,asparagus,vegetable,3
Corn,is a plant.,corn,vegetable,3
Cauliflower,is a plant.,cauliflower,vegetable,3
Brussels sprouts,are a plant.,brussels sprouts,vegetable,3
Squash,is a plant.,squash,vegetable,3
Lettuce,is a plant.,lettuce,vegetable,3
Celery,is a plant.,celery,vegetable,3
Cucumber,is a plant.,cucumber,vegetable,3
Beet,is a plant.,beet,vegetable,3
Green,is a plant.,green,vegetable,3
Tomato,is a plant.,tomato,vegetable,3
Lima bean,is a plant.,lima bean,vegetable,3
Artichoke,is a plant.,artichoke,vegetable,3
Turnip,is a plant.,turnip,vegetable,3
Eggplant,is a plant.,eggplant,vegetable,3
Romaine,is a plant.,romaine,vegetable,3
Green pepper,is a plant.,green pepper,vegetable,3
Okra,is a plant.,okra,vegetable,3
Radish,is a plant.,radish,vegetable,3
Onion,is a plant.,onion,vegetable,3
Bean,is a plant.,bean,vegetable,3
Green onion,is a plant.,green onion,vegetable,3
Potato,is a plant.,potato,vegetable,3
Parsnip,is a plant.,parsnip,vegetable,3
Turnip green,is a plant.,turnip green,vegetable,3
Collard,is a plant.,collard,vegetable,3
Wax bean,is a plant.,wax bean,vegetable,3
Watercress,is a plant.,watercress,vegetable,3
Black eyed pea,is a plant.,black eyed pea,vegetable,3
Leek,is a plant.,leek,vegetable,3
