ppo, pdo, tpo, tdo
a scientist saved a plate for a business .,a scientist saved a business a plate .,the friend supplied the pie to the captain .,the friend supplied the captain the pie .
the bishop left the pie for the band .,the bishop left the band the pie .,an author brought a log to a business .,an author brought a business a log .
the child sold the box to the army .,the child sold the army the box .,a sheriff left a knife for a band .,a sheriff left a band a knife .
the reader bought the wire for the candidate .,the reader bought the candidate the wire .,a prince gave a tea to a business .,a prince gave a business a tea .
the pilot showed the chocolate to the president .,the pilot showed the president the chocolate .,an opponent purchased a card for a girl .,an opponent purchased a girl a card .
a nurse saved a coffee for a band .,a nurse saved a band a coffee .,the attorney promised the crystal to the wife .,the attorney promised the wife the crystal .
a chief fed a chocolate to an actor .,a chief fed an actor a chocolate .,the employer made the engine for the husband .,the employer made the husband the engine .
the uncle caught the computer for the king .,the uncle caught the king the computer .,a hero fed a pie to a parent .,a hero fed a parent a pie .
the chief purchased the flower for the army .,the chief purchased the army the flower .,a husband sent a pie to a sheriff .,a husband sent a sheriff a pie .
the husband threw the anchor to the doctor .,the husband threw the doctor the anchor .,a lady saved a knife for an army .,a lady saved an army a knife .
an army designed a guitar for a club .,an army designed a club a guitar .,the guest gave the coffee to the actress .,the guest gave the actress the coffee .
the president brought the coffee to the king .,the president brought the king the coffee .,a guy made an iron for a band .,a guy made a band an iron .
the attorney drew the telephone for the company .,the attorney drew the company the telephone .,a man sent a beer to an army .,a man sent an army a beer .
a scientist drew a wire for an army .,a scientist drew an army a wire .,the brother sold the salad to the cop .,the brother sold the cop the salad .
the uncle purchased the chocolate for the army .,the uncle purchased the army the chocolate .,a doctor promised a bottle to a friend .,a doctor promised a friend a bottle .
the scientist purchased the coffee for the band .,the scientist purchased the band the coffee .,an aunt took a machine to a brother .,an aunt took a brother a machine .
the lawyer drew the log for the partner .,the lawyer drew the partner the log .,a woman sent a beer to a company .,a woman sent a company a beer .
the wife showed the key to the guest .,the wife showed the guest the key .,an opponent got a juice for a band .,an opponent got a band a juice .
a secretary made a wire for a woman .,a secretary made a woman a wire .,the guy sent the candy to the priest .,the guy sent the priest the candy .
the woman sold the pie to the company .,the woman sold the company the pie .,an uncle kept a salad for an army .,an uncle kept an army a salad .
the leader supplied the tea to the band .,the leader supplied the band the tea .,an actor delivered a television for a bishop .,an actor delivered a bishop a television .
the winner showed the beer to the business .,the winner showed the business the beer .,a priest drew an instrument for a cop .,a priest drew a cop an instrument .
an attorney delivered a chocolate for a reader .,an attorney delivered a reader a chocolate .,the prince fed the cheese to the partner .,the prince fed the partner the cheese .
the girl left the pot for the band .,the girl left the band the pot .,a nurse promised a cup to a teacher .,a nurse promised a teacher a cup .
a leader brought a bottle to a corporation .,a leader brought a corporation a bottle .,the aunt kept the tea for the champion .,the aunt kept the champion the tea .
the girl drew the computer for the administration .,the girl drew the administration the computer .,a writer sold a chocolate to a singer .,a writer sold a singer a chocolate .
a scientist got a chicken for a cousin .,a scientist got a cousin a chicken .,the daughter showed the chocolate to the administration .,the daughter showed the administration the chocolate .
the actress saved the cheese for the brother .,the actress saved the brother the cheese .,a lady promised a juice to a cop .,a lady promised a cop a juice .
the employer drew the telephone for the club .,the employer drew the club the telephone .,a princess sent an iron to a colonel .,a princess sent a colonel an iron .
a guest threw a juice to an actor .,a guest threw an actor a juice .,the adult bought the pie for the bishop .,the adult bought the bishop the pie .
the princess purchased the motor for the club .,the princess purchased the club the motor .,a writer threw a beer to a leader .,a writer threw a leader a beer .
the opponent brought the coffee to the manager .,the opponent brought the manager the coffee .,a wife kept a guitar for a professor .,a wife kept a professor a guitar .
the physician supplied the tea to the soldier .,the physician supplied the soldier the tea .,an administration designed a bowl for a club .,an administration designed a club a bowl .
a pilot took a cigarette to a princess .,a pilot took a princess a cigarette .,the friend purchased the gun for the corporation .,the friend purchased the corporation the gun .
a pilot supplied a juice to a colonel .,a pilot supplied a colonel a juice .,the son made the coat for the company .,the son made the company the coat .
the princess showed the instrument to the champion .,the princess showed the champion the instrument .,a student found a beer for an army .,a student found an army a beer .
the uncle brought the cup to the business .,the uncle brought the business the cup .,a manager caught a bottle for a president .,a manager caught a president a bottle .
the cop showed the ball to the uncle .,the cop showed the uncle the ball .,a writer designed a telephone for a minister .,a writer designed a minister a telephone .
a president supplied a juice to an author .,a president supplied an author a juice .,the actress left the meal for the wife .,the actress left the wife the meal .
the buddy sent the juice to the band .,the buddy sent the band the juice .,a daughter made a machine for a club .,a daughter made a club a machine .
an actress threw a meal to a pilot .,an actress threw a pilot a meal .,the employee found the coffee for the buddy .,the employee found the buddy the coffee .
an actress fed a chocolate to a wife .,an actress fed a wife a chocolate .,the doctor kept the coffee for the writer .,the doctor kept the writer the coffee .
a cop threw a salad to a candidate .,a cop threw a candidate a salad .,the prince delivered the coffee for the student .,the prince delivered the student the coffee .
the minister caught the plate for the buddy .,the minister caught the buddy the plate .,an adult promised a coffee to a king .,an adult promised a king a coffee .
the leader supplied the meal to the parent .,the leader supplied the parent the meal .,a woman kept a chocolate for a business .,a woman kept a business a chocolate .
a soldier showed a beer to a club .,a soldier showed a club a beer .,the prince kept the juice for the corporation .,the prince kept the corporation the juice .
a mother showed a salad to an administration .,a mother showed an administration a salad .,the professor got the pie for the employer .,the professor got the employer the pie .
a captain saved a candy for a club .,a captain saved a club a candy .,the lawyer took the guitar to the actress .,the lawyer took the actress the guitar .
a boy took a plate to a soldier .,a boy took a soldier a plate .,the physician drew the log for the corporation .,the physician drew the corporation the log .
a girl bought an instrument for a mayor .,a girl bought a mayor an instrument .,the brother supplied the juice to the army .,the brother supplied the army the juice .
the author caught the instrument for the manager .,the author caught the manager the instrument .,a buddy sold a bowl to an actor .,a buddy sold an actor a bowl .
the winner threw the cheese to the chief .,the winner threw the chief the cheese .,a king purchased a meal for a lady .,a king purchased a lady a meal .
a teacher saved a chocolate for a cop .,a teacher saved a cop a chocolate .,the actress gave the meal to the scientist .,the actress gave the scientist the meal .
the wife brought the pie to the cop .,the wife brought the cop the pie .,a mayor left an iron for a captain .,a mayor left a captain an iron .
a colonel took a newspaper to a priest .,a colonel took a priest a newspaper .,the opponent saved the meal for the champion .,the opponent saved the champion the meal .
an employee saved a juice for a mayor .,an employee saved a mayor a juice .,the woman promised the bowl to the adult .,the woman promised the adult the bowl .
a worker brought a computer to a corporation .,a worker brought a corporation a computer .,the kid bought the cigarette for the woman .,the kid bought the woman the cigarette .
the worker promised the salad to the pilot .,the worker promised the pilot the salad .,a friend saved a coffee for a company .,a friend saved a company a coffee .
a nurse fed a chocolate to a girl .,a nurse fed a girl a chocolate .,the physician bought the log for the author .,the physician bought the author the log .
the reader purchased the beer for the doctor .,the reader purchased the doctor the beer .,a kid supplied a television to a corporation .,a kid supplied a corporation a television .
a sheriff threw a coat to a colonel .,a sheriff threw a colonel a coat .,the physician bought the log for the author .,the physician bought the author the log .
the boy purchased the motor for the aunt .,the boy purchased the aunt the motor .,a physician supplied a chicken to a minister .,a physician supplied a minister a chicken .
the author drew the box for the army .,the author drew the army the box .,an attorney showed a coat to a band .,an attorney showed a band a coat .
a hero kept a meal for an administration .,a hero kept an administration a meal .,the professor sent the tea to the band .,the professor sent the band the tea .
an employee promised a pot to a guest .,an employee promised a guest a pot .,the opponent purchased the chocolate for the hero .,the opponent purchased the hero the chocolate .
a manager supplied a newspaper to a lawyer .,a manager supplied a lawyer a newspaper .,the buddy made the coat for the daughter .,the buddy made the daughter the coat .
a champion saved a tea for an employee .,a champion saved an employee a tea .,the actor sent the pie to the guy .,the actor sent the guy the pie .
an author caught a glass for a woman .,an author caught a woman a glass .,the president fed the meal to the manager .,the president fed the manager the meal .
a parent brought a key to a captain .,a parent brought a captain a key .,the company designed the television for the administration .,the company designed the administration the television .
a priest brought a coffee to a corporation .,a priest brought a corporation a coffee .,the candidate made the plate for the worker .,the candidate made the worker the plate .
a writer showed a chocolate to a corporation .,a writer showed a corporation a chocolate .,the cousin bought the cheese for the student .,the cousin bought the student the cheese .
a chief fed a pie to a writer .,a chief fed a writer a pie .,the guy made the ball for the band .,the guy made the band the ball .
the minister kept the chicken for the bishop .,the minister kept the bishop the chicken .,an opponent threw a motor to a guy .,an opponent threw a guy a motor .
a friend kept a chocolate for a mother .,a friend kept a mother a chocolate .,the employee fed the meal to the scientist .,the employee fed the scientist the meal .
the physician brought the bottle to the club .,the physician brought the club the bottle .,a corporation designed a flower for a company .,a corporation designed a company a flower .
an uncle gave a beer to an administration .,an uncle gave an administration a beer .,the mayor caught the wire for the daughter .,the mayor caught the daughter the wire .
the sheriff designed the newspaper for the buddy .,the sheriff designed the buddy the newspaper .,a hero gave a juice to a business .,a hero gave a business a juice .
a child saved a guitar for a candidate .,a child saved a candidate a guitar .,the hero fed the salad to the prince .,the hero fed the prince the salad .
an employer saved a telephone for an army .,an employer saved an army a telephone .,the guest sold the card to the prince .,the guest sold the prince the card .
a chief saved a salad for an army .,a chief saved an army a salad .,the singer promised the meal to the employer .,the singer promised the employer the meal .
the son saved the button for the student .,the son saved the student the button .,a king sent a machine to a club .,a king sent a club a machine .
a woman promised a tea to a bishop .,a woman promised a bishop a tea .,the sheriff drew the crystal for the guy .,the sheriff drew the guy the crystal .
the attorney sold the beer to the army .,the attorney sold the army the beer .,a man left a tea for a princess .,a man left a princess a tea .
the minister purchased the chicken for the colonel .,the minister purchased the colonel the chicken .,a bishop promised an iron to a daughter .,a bishop promised a daughter an iron .
a captain threw an iron to a physician .,a captain threw a physician an iron .,the guest purchased the pie for the girl .,the guest purchased the girl the pie .
an attorney supplied a beer to an actor .,an attorney supplied an actor a beer .,the author bought the instrument for the buddy .,the author bought the buddy the instrument .
the guy left the flower for the singer .,the guy left the singer the flower .,a worker gave a television to a princess .,a worker gave a princess a television .
the soldier saved the pie for the club .,the soldier saved the club the pie .,a child supplied a meal to an attorney .,a child supplied an attorney a meal .
an actor showed a cheese to a band .,an actor showed a band a cheese .,the captain bought the chicken for the prince .,the captain bought the prince the chicken .
a professor caught an instrument for a daughter .,a professor caught a daughter an instrument .,the king took the computer to the priest .,the king took the priest the computer .
a guest delivered a beer for a daughter .,a guest delivered a daughter a beer .,the winner fed the pie to the parent .,the winner fed the parent the pie .
the candidate fed the candy to the secretary .,the candidate fed the secretary the candy .,a cop made a camera for an army .,a cop made an army a camera .
the employer took the glass to the author .,the employer took the author the glass .,a president caught a cigarette for a priest .,a president caught a priest a cigarette .
the wife sent the engine to the band .,the wife sent the band the engine .,a lady saved a tea for an uncle .,a lady saved an uncle a tea .
a chief drew a computer for an army .,a chief drew an army a computer .,the winner sold the crystal to the daughter .,the winner sold the daughter the crystal .
the captain left the ball for the club .,the captain left the club the ball .,an adult promised a coffee to a king .,an adult promised a king a coffee .
the husband fed the cheese to the opponent .,the husband fed the opponent the cheese .,a corporation designed a telephone for a club .,a corporation designed a club a telephone .
a partner found a key for a company .,a partner found a company a key .,the secretary sold the tea to the cop .,the secretary sold the cop the tea .
the adult promised the coffee to the hero .,the adult promised the hero the coffee .,an actor delivered a candy for a prince .,an actor delivered a prince a candy .
the kid kept the engine for the daughter .,the kid kept the daughter the engine .,a candidate fed a candy to a lady .,a candidate fed a lady a candy .
a guy promised a jacket to a physician .,a guy promised a physician a jacket .,the professor got the key for the bishop .,the professor got the bishop the key .
a chief promised a guitar to an employee .,a chief promised an employee a guitar .,the prince found the cheese for the princess .,the prince found the princess the cheese .
the friend supplied the cheese to the daughter .,the friend supplied the daughter the cheese .,an actress got a pie for a candidate .,an actress got a candidate a pie .
a mother purchased a flower for a club .,a mother purchased a club a flower .,the physician threw the juice to the man .,the physician threw the man the juice .
the captain fed the pie to the buddy .,the captain fed the buddy the pie .,a daughter kept a cheese for a lawyer .,a daughter kept a lawyer a cheese .
a hero threw a newspaper to a father .,a hero threw a father a newspaper .,the writer found the gun for the administration .,the writer found the administration the gun .
a doctor fed a cheese to a singer .,a doctor fed a singer a cheese .,the son kept the tea for the winner .,the son kept the winner the tea .
a kid promised a key to a mayor .,a kid promised a mayor a key .,the writer saved the coffee for the reader .,the writer saved the reader the coffee .
the parent supplied the newspaper to the doctor .,the parent supplied the doctor the newspaper .,a lady bought a beer for a king .,a lady bought a king a beer .
an employee brought a candy to an administration .,an employee brought an administration a candy .,the guest bought the coffee for the father .,the guest bought the father the coffee .
a buddy found a coffee for a band .,a buddy found a band a coffee .,the president sold the computer to the club .,the president sold the club the computer .
the colonel found the log for the army .,the colonel found the army the log .,an attorney brought an engine to a band .,an attorney brought a band an engine .
an aunt made a cigarette for an attorney .,an aunt made an attorney a cigarette .,the scientist took the coat to the student .,the scientist took the student the coat .
a reader showed a salad to an attorney .,a reader showed an attorney a salad .,the secretary found the box for the manager .,the secretary found the manager the box .
an opponent kept a guitar for an employee .,an opponent kept an employee a guitar .,the child sold the beer to the administration .,the child sold the administration the beer .
the princess caught the pot for the prince .,the princess caught the prince the pot .,a bishop promised an iron to a daughter .,a bishop promised a daughter an iron .
a soldier kept a cheese for an army .,a soldier kept an army a cheese .,the aunt fed the pie to the woman .,the aunt fed the woman the pie .
the hero supplied the candy to the parent .,the hero supplied the parent the candy .,a husband left a juice for an army .,a husband left an army a juice .
a son drew a telephone for an administration .,a son drew an administration a telephone .,the colonel promised the juice to the king .,the colonel promised the king the juice .
the woman promised the computer to the boy .,the woman promised the boy the computer .,an adult drew a gun for an aunt .,an adult drew an aunt a gun .
the child threw the box to the attorney .,the child threw the attorney the box .,a leader left a meal for a cousin .,a leader left a cousin a meal .
a princess fed a salad to a girl .,a princess fed a girl a salad .,the doctor kept the coffee for the writer .,the doctor kept the writer the coffee .
an uncle made a flower for an administration .,an uncle made an administration a flower .,the writer gave the meal to the parent .,the writer gave the parent the meal .
the mother sold the iron to the administration .,the mother sold the administration the iron .,a cousin drew a guitar for a corporation .,a cousin drew a corporation a guitar .
the lawyer fed the candy to the champion .,the lawyer fed the champion the candy .,a princess delivered a cheese for a professor .,a princess delivered a professor a cheese .
a winner made a motor for a club .,a winner made a club a motor .,the minister promised the ball to the child .,the minister promised the child the ball .
a hero caught a wire for a partner .,a hero caught a partner a wire .,the reader took the television to the chief .,the reader took the chief the television .
an employer took a wire to a prince .,an employer took a prince a wire .,the parent made the book for the kid .,the parent made the kid the book .
the lawyer showed the pie to the partner .,the lawyer showed the partner the pie .,a husband drew a guitar for a parent .,a husband drew a parent a guitar .
the guy left the beer for the corporation .,the guy left the corporation the beer .,an employer fed a cheese to a daughter .,an employer fed a daughter a cheese .
the uncle caught the gun for the professor .,the uncle caught the professor the gun .,a captain brought a coffee to a business .,a captain brought a business a coffee .
an uncle made a box for a child .,an uncle made a child a box .,the prince sold the cheese to the sheriff .,the prince sold the sheriff the cheese .
a daughter caught a bag for a husband .,a daughter caught a husband a bag .,the cousin fed the pie to the sheriff .,the cousin fed the sheriff the pie .
the priest showed the motor to the chief .,the priest showed the chief the motor .,a guy found a beer for a company .,a guy found a company a beer .
a singer kept a juice for a lady .,a singer kept a lady a juice .,the colonel threw the tea to the leader .,the colonel threw the leader the tea .
a child drew a machine for a husband .,a child drew a husband a machine .,the hero brought the tea to the band .,the hero brought the band the tea .
an employer designed a box for a wife .,an employer designed a wife a box .,the brother sold the salad to the army .,the brother sold the army the salad .
the princess fed the salad to the manager .,the princess fed the manager the salad .,a girl designed a wire for a bishop .,a girl designed a bishop a wire .
a writer sent a cheese to a business .,a writer sent a business a cheese .,the physician found the candy for the army .,the physician found the army the candy .
the priest fed the salad to the guest .,the priest fed the guest the salad .,a woman made a glass for a business .,a woman made a business a glass .
the wife brought the candy to the nurse .,the wife brought the nurse the candy .,an employer kept a card for a girl .,an employer kept a girl a card .
the wife supplied the plate to the business .,the wife supplied the business the plate .,a winner delivered a flower for a soldier .,a winner delivered a soldier a flower .
the scientist showed the tea to the buddy .,the scientist showed the buddy the tea .,a student left a glass for a club .,a student left a club a glass .
a president fed a candy to an author .,a president fed an author a candy .,the doctor got the juice for the winner .,the doctor got the winner the juice .
the boy gave the tea to the brother .,the boy gave the brother the tea .,an employee bought a computer for a teacher .,an employee bought a teacher a computer .
a king left a salad for a company .,a king left a company a salad .,the brother sent the bottle to the administration .,the brother sent the administration the bottle .
a parent saved a coffee for an administration .,a parent saved an administration a coffee .,the reader took the machine to the president .,the reader took the president the machine .
a kid bought a beer for a candidate .,a kid bought a candidate a beer .,the professor brought the cheese to the band .,the professor brought the band the cheese .
an author promised a beer to a manager .,an author promised a manager a beer .,the professor got the key for the bishop .,the professor got the bishop the key .
a nurse saved a salad for an army .,a nurse saved an army a salad .,the worker showed the chocolate to the hero .,the worker showed the hero the chocolate .
the candidate fed the salad to the lady .,the candidate fed the lady the salad .,a band designed a cigarette for an administration .,a band designed an administration a cigarette .
a princess showed a coffee to a guy .,a princess showed a guy a coffee .,the candidate left the machine for the band .,the candidate left the band the machine .
a husband bought an instrument for a prince .,a husband bought a prince an instrument .,the child supplied the cheese to the army .,the child supplied the army the cheese .
the author made the engine for the corporation .,the author made the corporation the engine .,a worker supplied a beer to a husband .,a worker supplied a husband a beer .
an opponent brought an anchor to a physician .,an opponent brought a physician an anchor .,the son made the bell for the professor .,the son made the professor the bell .
the president promised the chicken to the guest .,the president promised the guest the chicken .,a minister saved a candy for an administration .,a minister saved an administration a candy .
the physician caught the ball for the captain .,the physician caught the captain the ball .,a scientist promised a television to a sheriff .,a scientist promised a sheriff a television .
the guy promised the cheese to the cop .,the guy promised the cop the cheese .,a father saved a tea for a band .,a father saved a band a tea .
an employee sold a candy to a club .,an employee sold a club a candy .,the writer saved the pie for the company .,the writer saved the company the pie .
the parent took the computer to the teacher .,the parent took the teacher the computer .,an employer bought a card for a lady .,an employer bought a lady a card .
a chief gave a coffee to a corporation .,a chief gave a corporation a coffee .,the minister saved the meal for the uncle .,the minister saved the uncle the meal .
a daughter sold a tea to a captain .,a daughter sold a captain a tea .,the cousin left the chicken for the club .,the cousin left the club the chicken .
a priest brought a bell to a secretary .,a priest brought a secretary a bell .,the company designed the television for the administration .,the company designed the administration the television .
a sheriff gave a crystal to a club .,a sheriff gave a club a crystal .,the woman bought the juice for the princess .,the woman bought the princess the juice .
the buddy brought the anchor to the administration .,the buddy brought the administration the anchor .,a wife left a beer for a father .,a wife left a father a beer .
a colonel left a cheese for a corporation .,a colonel left a corporation a cheese .,the husband brought the juice to the soldier .,the husband brought the soldier the juice .
the reader drew the instrument for the mother .,the reader drew the mother the instrument .,a husband showed a knife to a club .,a husband showed a club a knife .
the parent showed the juice to the administration .,the parent showed the administration the juice .,an uncle delivered a coffee for a wife .,an uncle delivered a wife a coffee .
a colonel got a meal for a doctor .,a colonel got a doctor a meal .,the bishop supplied the pie to the band .,the bishop supplied the band the pie .
the author bought the card for the man .,the author bought the man the card .,a teacher threw a log to a physician .,a teacher threw a physician a log .
the opponent found the wire for the wife .,the opponent found the wife the wire .,a chief promised a chicken to a parent .,a chief promised a parent a chicken .
the doctor showed the cheese to the lawyer .,the doctor showed the lawyer the cheese .,a boy kept a book for a teacher .,a boy kept a teacher a book .
the minister got the engine for the student .,the minister got the student the engine .,a chief fed a pie to a partner .,a chief fed a partner a pie .
the champion bought the bottle for the doctor .,the champion bought the doctor the bottle .,an employer supplied a cheese to a woman .,an employer supplied a woman a cheese .
a writer got a ball for a business .,a writer got a business a ball .,the kid fed the chocolate to the doctor .,the kid fed the doctor the chocolate .
the buddy fed the cheese to the secretary .,the buddy fed the secretary the cheese .,a child delivered a salad for a king .,a child delivered a king a salad .
the child showed the juice to the business .,the child showed the business the juice .,a physician saved a beer for a buddy .,a physician saved a buddy a beer .
the scientist fed the candy to the bishop .,the scientist fed the bishop the candy .,a man kept a motor for a corporation .,a man kept a corporation a motor .
the writer caught the motor for the physician .,the writer caught the physician the motor .,an employer sent a pie to a father .,an employer sent a father a pie .
the singer threw the bell to the child .,the singer threw the child the bell .,a worker bought a cheese for a king .,a worker bought a king a cheese .
the army designed the guitar for the corporation .,the army designed the corporation the guitar .,a doctor promised a bottle to a friend .,a doctor promised a friend a bottle .
the worker left the candy for the business .,the worker left the business the candy .,a teacher threw a log to a physician .,a teacher threw a physician a log .
a soldier fed a cheese to a nurse .,a soldier fed a nurse a cheese .,the aunt purchased the beer for the club .,the aunt purchased the club the beer .
the chief gave the bell to the company .,the chief gave the company the bell .,a father bought a juice for a doctor .,a father bought a doctor a juice .
a guy designed a box for a worker .,a guy designed a worker a box .,the brother sold the chicken to the business .,the brother sold the business the chicken .
the prince showed the coat to the army .,the prince showed the army the coat .,a son bought a chicken for a scientist .,a son bought a scientist a chicken .
the winner sent the pie to the daughter .,the winner sent the daughter the pie .,a band designed a motor for an administration .,a band designed an administration a motor .
a candidate fed a chicken to an author .,a candidate fed an author a chicken .,the manager kept the beer for the business .,the manager kept the business the beer .
a bishop purchased a cheese for an opponent .,a bishop purchased an opponent a cheese .,the daughter supplied the meal to the army .,the daughter supplied the army the meal .
a partner drew a television for an administration .,a partner drew an administration a television .,the captain sold the pie to the band .,the captain sold the band the pie .
the aunt showed the chicken to the adult .,the aunt showed the adult the chicken .,a king delivered a juice for an employer .,a king delivered an employer a juice .
the professor sold the cheese to the administration .,the professor sold the administration the cheese .,a captain drew a gun for a guy .,a captain drew a guy a gun .
the mother saved the cigarette for the actor .,the mother saved the actor the cigarette .,a physician supplied a chicken to a minister .,a physician supplied a minister a chicken .
the scientist took the bottle to the employer .,the scientist took the employer the bottle .,a sheriff saved a meal for a mother .,a sheriff saved a mother a meal .
a brother supplied a tea to a chief .,a brother supplied a chief a tea .,the student caught the machine for the scientist .,the student caught the scientist the machine .
an uncle got a jacket for an army .,an uncle got an army a jacket .,the bishop threw the candy to the priest .,the bishop threw the priest the candy .
the doctor sold the juice to the teacher .,the doctor sold the teacher the juice .,a prince found a chocolate for a company .,a prince found a company a chocolate .
the hero purchased the cheese for the girl .,the hero purchased the girl the cheese .,a colonel threw a salad to a physician .,a colonel threw a physician a salad .
the lawyer took the iron to the daughter .,the lawyer took the daughter the iron .,an author purchased a salad for a buddy .,an author purchased a buddy a salad .
the partner supplied the bell to the champion .,the partner supplied the champion the bell .,a woman kept a juice for a corporation .,a woman kept a corporation a juice .
a girl promised a guitar to a cousin .,a girl promised a cousin a guitar .,the man got the pie for the administration .,the man got the administration the pie .
a soldier purchased a candy for an administration .,a soldier purchased an administration a candy .,the kid sent the tea to the company .,the kid sent the company the tea .
an employee sent a wire to a mayor .,an employee sent a mayor a wire .,the professor kept the cheese for the business .,the professor kept the business the cheese .
a chief sold a card to a son .,a chief sold a son a card .,the kid found the chocolate for the band .,the kid found the band the chocolate .
the secretary drew the button for the administration .,the secretary drew the administration the button .,a man threw a beer to a friend .,a man threw a friend a beer .
a winner sold a gun to a worker .,a winner sold a worker a gun .,the author saved the meal for the company .,the author saved the company the meal .
the chief made the coat for the administration .,the chief made the administration the coat .,a mother supplied a plate to a secretary .,a mother supplied a secretary a plate .
a winner drew a crystal for an actor .,a winner drew an actor a crystal .,the teacher threw the chocolate to the colonel .,the teacher threw the colonel the chocolate .
a king got a gun for a student .,a king got a student a gun .,the kid sold the coat to the woman .,the kid sold the woman the coat .
the champion sold the tea to the husband .,the champion sold the husband the tea .,an employer found a meal for a business .,an employer found a business a meal .
an opponent took a jacket to an uncle .,an opponent took an uncle a jacket .,the girl drew the instrument for the administration .,the girl drew the administration the instrument .
a soldier showed a salad to a girl .,a soldier showed a girl a salad .,the captain got the cigarette for the administration .,the captain got the administration the cigarette .
the daughter supplied the chicken to the administration .,the daughter supplied the administration the chicken .,an employee got a candy for a business .,an employee got a business a candy .
an attorney promised a juice to a priest .,an attorney promised a priest a juice .,the candidate delivered the television for the parent .,the candidate delivered the parent the television .
a guest brought a candy to a mother .,a guest brought a mother a candy .,the scientist drew the bowl for the lady .,the scientist drew the lady the bowl .
an employer purchased a cheese for a husband .,an employer purchased a husband a cheese .,the girl threw the meal to the guest .,the girl threw the guest the meal .
a cop showed a beer to an army .,a cop showed an army a beer .,the writer saved the coffee for the reader .,the writer saved the reader the coffee .
the daughter took the coat to the mayor .,the daughter took the mayor the coat .,a sheriff caught a bottle for a secretary .,a sheriff caught a secretary a bottle .
the prince showed the beer to the attorney .,the prince showed the attorney the beer .,an author purchased a candy for a sheriff .,an author purchased a sheriff a candy .
a champion gave a candy to an actress .,a champion gave an actress a candy .,the worker caught the crystal for the guest .,the worker caught the guest the crystal .
a father brought a tea to a soldier .,a father brought a soldier a tea .,the king caught the cigarette for the buddy .,the king caught the buddy the cigarette .
the champion bought the juice for the kid .,the champion bought the kid the juice .,a priest threw a cup to a mayor .,a priest threw a mayor a cup .
the lawyer purchased the book for the corporation .,the lawyer purchased the corporation the book .,a guest gave a chocolate to a band .,a guest gave a band a chocolate .
the nurse sent the chocolate to the business .,the nurse sent the business the chocolate .,a guest bought a meal for a physician .,a guest bought a physician a meal .
a man promised a book to an employee .,a man promised an employee a book .,the captain delivered the coffee for the actress .,the captain delivered the actress the coffee .
the colonel sold the pie to the captain .,the colonel sold the captain the pie .,a princess left a salad for a mayor .,a princess left a mayor a salad .
a singer promised a beer to a husband .,a singer promised a husband a beer .,the administration designed the hat for the company .,the administration designed the company the hat .
the princess bought the television for the lawyer .,the princess bought the lawyer the television .,a professor brought a pie to a company .,a professor brought a company a pie .
the uncle gave the tea to the princess .,the uncle gave the princess the tea .,a partner designed a computer for a lady .,a partner designed a lady a computer .
the aunt sent the telephone to the employer .,the aunt sent the employer the telephone .,a business designed a log for a corporation .,a business designed a corporation a log .
the manager gave the coffee to the daughter .,the manager gave the daughter the coffee .,a reader saved a chocolate for an army .,a reader saved an army a chocolate .
the daughter left the beer for the winner .,the daughter left the winner the beer .,a manager brought a tea to a company .,a manager brought a company a tea .
the uncle threw the chicken to the cousin .,the uncle threw the cousin the chicken .,a cop saved a cheese for a business .,a cop saved a business a cheese .
a writer sent a gun to a company .,a writer sent a company a gun .,the priest made the jacket for the son .,the priest made the son the jacket .
a professor sold a beer to a mother .,a professor sold a mother a beer .,the writer saved the pie for the company .,the writer saved the company the pie .
a colonel sold a cheese to an administration .,a colonel sold an administration a cheese .,the singer kept the cigarette for the partner .,the singer kept the partner the cigarette .
the man fed the cheese to the writer .,the man fed the writer the cheese .,a cop kept a knife for a company .,a cop kept a company a knife .
the minister delivered the beer for the father .,the minister delivered the father the beer .,a secretary supplied an iron to an army .,a secretary supplied an army an iron .
the king brought the salad to the soldier .,the king brought the soldier the salad .,a singer bought a coat for a doctor .,a singer bought a doctor a coat .
a chief purchased a candy for a minister .,a chief purchased a minister a candy .,the attorney promised the crystal to the wife .,the attorney promised the wife the crystal .
the champion supplied the chocolate to the candidate .,the champion supplied the candidate the chocolate .,a parent delivered a telephone for a girl .,a parent delivered a girl a telephone .
a professor drew a log for a singer .,a professor drew a singer a log .,the man sent the beer to the army .,the man sent the army the beer .
a bishop left an anchor for a lawyer .,a bishop left a lawyer an anchor .,the teacher showed the newspaper to the student .,the teacher showed the student the newspaper .
the candidate kept the pot for the son .,the candidate kept the son the pot .,a wife threw a meal to an author .,a wife threw an author a meal .
the cousin fed the salad to the professor .,the cousin fed the professor the salad .,a leader caught a jacket for a singer .,a leader caught a singer a jacket .
a cousin drew a book for an army .,a cousin drew an army a book .,the manager threw the pie to the employee .,the manager threw the employee the pie .
the prince sold the beer to the company .,the prince sold the company the beer .,a kid made a key for an administration .,a kid made an administration a key .
the manager gave the motor to the army .,the manager gave the army the motor .,a physician made a television for a business .,a physician made a business a television .
an actress found a hat for a club .,an actress found a club a hat .,the kid sent the tea to the company .,the kid sent the company the tea .
